                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4223,                 3.6386,                 2.3433,                0.03488,                 0.4886,                0.13288,                0.04382,                 2.0334,                 3.8328,                 1.9733,             0.00035975,             0.00035975,             0.00035975
                      2,                 2.1324,                 2.7559,                 2.0909,                0.66786,                0.13503,                  0.186,                 0.0654,                 2.0682,                 3.1523,                 1.9806,             0.00065781,             0.00065781,             0.00065781
                      3,                 2.0978,                 2.4944,                 2.0466,                0.30347,                0.27909,                0.22618,                0.07002,                 2.2079,                  2.849,                 2.1419,             0.00088254,             0.00088254,             0.00088254
                      4,                 2.0556,                 2.3955,                 2.0283,                0.33789,                0.28846,                0.27709,                0.10603,                 2.2338,                 3.0671,                 2.3181,             0.00078103,             0.00078103,             0.00078103
                      5,                 2.0259,                 2.3326,                 2.0297,                   0.31,                0.31677,                 0.3163,                0.13349,                 2.0482,                 3.2401,                 2.0671,             0.00067104,             0.00067104,             0.00067104
                      6,                 1.9774,                 2.1779,                 1.9598,                0.57253,                0.37898,                0.47217,                0.18041,                 1.9783,                 2.3572,                 1.9329,             0.00056105,             0.00056105,             0.00056105
                      7,                  1.935,                 2.0605,                 1.9185,                0.59249,                0.53417,                0.60495,                0.25092,                 1.9945,                 2.1639,                 1.9123,             0.00045107,             0.00045107,             0.00045107
                      8,                 1.8891,                 1.9457,                 1.8875,                0.67949,                0.63248,                0.69091,                0.29684,                 1.9013,                 1.9507,                 1.8002,             0.00034108,             0.00034108,             0.00034108
                      9,                 1.8539,                 1.8871,                 1.8165,                0.72967,                0.67554,                0.71327,                0.32944,                 1.8698,                 1.8886,                 1.8077,             0.00023109,             0.00023109,             0.00023109
                     10,                 1.7979,                 1.8139,                 1.8015,                0.70049,                0.70723,                0.73015,                0.31625,                 1.8079,                   1.85,                 1.7575,              0.0001211,              0.0001211,              0.0001211
